freq_hz,magnitude
1.235848934730845805e+01,4.550110343326835505e+00
1.245580028705104425e+01,2.738327005199117536e+00
1.255311122679363045e+01,1.379953079388333670e+00
1.265042216653621665e+01,4.167125168845735139e+00
1.274773310627880285e+01,1.688888920506962821e+00
1.284504404602138905e+01,7.566880926886353498e-01
1.294235498576397525e+01,4.001403194804153962e+00
1.303966592550656145e+01,2.187707832103860994e+00
1.313697686524914765e+01,2.299354420157686985e+00
1.323428780499173385e+01,3.556325148475104836e+00
1.333159874473432005e+01,1.238455078738139870e+00
1.342890968447690625e+01,3.429664395332345794e+00
1.352622062421949423e+01,2.100415701769589472e+00
1.362353156396208043e+01,2.985857291168372285e+00
1.372084250370466663e+01,1.495577870532081910e+00
1.381815344344725283e+01,9.311693924096080544e-01
1.391546438318983903e+01,2.388425829779764253e+00
1.401277532293242523e+01,1.922167692584276555e+00
1.411008626267501143e+01,2.254907728197396821e+00
1.420739720241759763e+01,1.897818871657453554e+00
1.430470814216018383e+01,4.068359202474887582e+00
1.440201908190277003e+01,5.463082960131195875e+00
1.449933002164535623e+01,1.856609302549671714e+00
1.459664096138794243e+01,6.228961317704658995e+00
1.469395190113052863e+01,6.357544157525870432e+00
1.479126284087311483e+01,3.011616481433083692e+00
1.488857378061570103e+01,6.173162923224895238e+00
1.498588472035828723e+01,5.066751715513497345e+00
1.508319566010087343e+01,3.883496590106509050e+00
1.518050659984345963e+01,4.684782652547162307e+00
1.527781753958604583e+01,2.904687205308597253e+00
1.537512847932863203e+01,3.966286504043928574e+00
1.547243941907121823e+01,2.671254795781993430e+00
1.556975035881380620e+01,1.330203420801563396e+00
1.566706129855639240e+01,2.187637315570285956e+00
1.576437223829897860e+01,2.054768166323701184e+00
1.586168317804156480e+01,9.506432999543066309e-01
1.595899411778415100e+01,2.521223557852307007e+00
1.605630505752673542e+01,1.229745579404530886e+00
1.615361599726932340e+01,8.800230579799701580e-01
1.625092693701190782e+01,1.343808284836092604e+00
1.634823787675449580e+01,1.377930572851001179e+00
1.644554881649708022e+01,6.010120488640547931e-01
1.654285975623966820e+01,9.150219303500274348e-01
1.664017069598225618e+01,3.234215924480395299e-01
1.673748163572484060e+01,5.581028679348077892e-01
1.683479257546742858e+01,2.223828524742631707e+00
1.693210351521001300e+01,1.779450576575939191e+00
1.702941445495260098e+01,3.890616131121226728e-01
1.712672539469518540e+01,3.242398568849142571e+00
1.722403633443777338e+01,2.643298972490430110e+00
1.732134727418035780e+01,2.894063448882357559e+00
1.741865821392294578e+01,1.913555471071248126e+00
1.751596915366553020e+01,5.151072688629256824e+00
1.761328009340811818e+01,3.430593136083763817e+00
1.771059103315070260e+01,2.116197669652174707e+00
1.780790197289329058e+01,4.518149826570832417e+00
1.790521291263587500e+01,2.993590292550823317e+00
1.800252385237846298e+01,2.517739364297174820e+00
1.809983479212104740e+01,2.973460910220265596e+00
1.819714573186363538e+01,2.579044409037550167e+00
1.829445667160621980e+01,1.817640362565903667e+00
1.839176761134880778e+01,3.252149382467505401e+00
1.848907855109139220e+01,1.171007884557332845e+00
1.858638949083398018e+01,3.453949003057521949e+00
1.868370043057656460e+01,3.264111286223104536e+00
1.878101137031915258e+01,1.800944590858367667e+00
1.887832231006174055e+01,3.175450396261503272e+00
1.897563324980432498e+01,2.278064692969981486e+00
1.907294418954691295e+01,1.229848692740054927e+00
1.917025512928949738e+01,2.253728845026022665e+00
1.926756606903208535e+01,1.599627446428167010e+00
1.936487700877466978e+01,2.638359304648318027e+00
1.946218794851725775e+01,2.667589689842488010e+00
1.955949888825984218e+01,9.336546026088095029e-01
1.965680982800243015e+01,3.926872649157225670e+00
1.975412076774501458e+01,3.038175218875179162e+00
1.985143170748760255e+01,1.022844702349248402e+00
1.994874264723018698e+01,2.382830458603002466e+00
2.004605358697277495e+01,4.554779144004667657e+00
2.014336452671535937e+01,1.106346560172437821e+00
2.024067546645794735e+01,1.092450219406801759e+00
2.033798640620053177e+01,4.290826321408812483e+00
2.043529734594311975e+01,7.926744642184866407e-01
2.053260828568570417e+01,1.805048104747188464e+00
2.062991922542829215e+01,3.671052075967625949e+00
2.072723016517087657e+01,1.394493725188100219e+00
2.082454110491346455e+01,4.375911576707527395e+00
2.092185204465605253e+01,4.502054847488691891e+00
2.101916298439863695e+01,3.248460620197905158e+00
2.111647392414122493e+01,4.507135297969232290e+00
2.121378486388380935e+01,2.996324167307283570e+00
2.131109580362639733e+01,1.721670758599952666e+00
2.140840674336898175e+01,2.215623987552263419e+00
2.150571768311156973e+01,1.707030022143887660e+00
2.160302862285415415e+01,1.872532982615707109e+00
2.170033956259674213e+01,1.722819015921953412e+00
2.179765050233932655e+01,1.438937396483706443e+00
2.189496144208191453e+01,9.319597822917361496e-01
2.199227238182449895e+01,6.002115820700146820e-01
2.208958332156708693e+01,5.482431954445504685e-01
2.218689426130967135e+01,9.847598481727452002e-01
2.228420520105225933e+01,2.096048858930931402e+00
2.238151614079484375e+01,9.581422982135332500e-01
2.247882708053743173e+01,9.798558785251701986e-01
2.257613802028001615e+01,2.124977151315474710e+00
2.267344896002260413e+01,1.660890398254727174e+00
2.277075989976518855e+01,9.304760017034966468e-01
2.286807083950777653e+01,1.538254022122410580e+00
2.296538177925036450e+01,4.836098760590021861e-01
2.306269271899294893e+01,2.005999728886597833e+00
2.316000365873553690e+01,1.002405664718228451e+00
2.325731459847812133e+01,1.732888718026780239e+00
2.335462553822070930e+01,2.028694157126252229e+00
2.345193647796329373e+01,9.911091446698389040e-01
2.354924741770588170e+01,1.113423979517082607e+00
2.364655835744846613e+01,1.250628447388087316e+00
2.374386929719105410e+01,1.546042474012875090e+00
2.384118023693363853e+01,8.978312818036018328e-01
2.393849117667622650e+01,1.029718344501957983e+00
2.403580211641881093e+01,1.184069663122661931e+00
2.413311305616139890e+01,1.337822883751957459e+00
2.423042399590398333e+01,1.919591816806465401e+00
2.432773493564657130e+01,2.818684364326725422e+00
2.442504587538915573e+01,1.922029119389917939e+00
2.452235681513174370e+01,2.436308437907591884e+00
2.461966775487432812e+01,2.109143045977349473e+00
2.471697869461691610e+01,3.229672257006903635e-01
2.481428963435950052e+01,7.825679606808823019e-01
2.491160057410208850e+01,1.430875418373495744e+00
2.500891151384467648e+01,1.669652219219988298e+00
2.510622245358726090e+01,6.546920115845870081e-01
2.520353339332984888e+01,1.588539772363213753e+00
2.530084433307243330e+01,1.080490069416503607e+00
2.539815527281502128e+01,1.100185798235588486e+00
2.549546621255760570e+01,4.014049130406413535e-01
2.559277715230019368e+01,2.368336365178660141e-01
2.569008809204277810e+01,1.446125325444180598e+00
2.578739903178536608e+01,1.916330864130127321e+00
2.588470997152795050e+01,9.619624415589999034e-01
2.598202091127053848e+01,2.064892822329555511e+00
2.607933185101312290e+01,1.960360553796514305e+00
2.617664279075571088e+01,1.262566079634166227e+00
2.627395373049829530e+01,8.771388981169805366e-01
2.637126467024088328e+01,4.210244069853709137e-01
2.646857560998346770e+01,2.867649995624070414e+00
2.656588654972605568e+01,1.165809020090952108e+00
2.666319748946864010e+01,8.492762834396448968e-01
2.676050842921122808e+01,2.313178923830040201e+00
2.685781936895381250e+01,1.777220121049832569e-01
2.695513030869640048e+01,1.349918012105036369e-01
2.705244124843898845e+01,7.270762816704706699e-01
2.714975218818157288e+01,1.869188341900908990e+00
2.724706312792416085e+01,1.237395221326857087e+00
2.734437406766674528e+01,6.793913591310362099e-01
2.744168500740933325e+01,2.922695597111664600e+00
2.753899594715191768e+01,1.119386466393374802e+00
2.763630688689450565e+01,1.023311591553805355e+00
