time_s,activity
1.235906999999999867e+00,0.000000000000000000e+00
1.242674999999999974e+00,0.000000000000000000e+00
1.249484000000000039e+00,1.000000000000000000e+00
1.256318999999999964e+00,0.000000000000000000e+00
1.263109999999999955e+00,1.000000000000000000e+00
1.269893999999999856e+00,1.000000000000000000e+00
1.276654999999999873e+00,0.000000000000000000e+00
1.283436000000000021e+00,1.000000000000000000e+00
1.290229999999999988e+00,1.000000000000000000e+00
1.297036999999999995e+00,0.000000000000000000e+00
1.303888999999999854e+00,1.000000000000000000e+00
1.310687999999999853e+00,0.000000000000000000e+00
1.317416999999999838e+00,0.000000000000000000e+00
1.324212999999999862e+00,1.000000000000000000e+00
1.331029999999999935e+00,0.000000000000000000e+00
1.337761999999999896e+00,1.000000000000000000e+00
1.344527000000000028e+00,1.000000000000000000e+00
1.351297999999999888e+00,0.000000000000000000e+00
1.358122999999999969e+00,1.000000000000000000e+00
1.364929999999999977e+00,1.000000000000000000e+00
1.371705999999999870e+00,0.000000000000000000e+00
1.378538000000000041e+00,1.000000000000000000e+00
1.385322999999999860e+00,0.000000000000000000e+00
1.392185999999999924e+00,0.000000000000000000e+00
1.399014999999999898e+00,1.000000000000000000e+00
1.405831999999999971e+00,0.000000000000000000e+00
1.412665999999999977e+00,0.000000000000000000e+00
1.419482999999999828e+00,1.000000000000000000e+00
1.426302999999999876e+00,0.000000000000000000e+00
1.433123999999999842e+00,0.000000000000000000e+00
1.439964999999999939e+00,1.000000000000000000e+00
1.446769999999999889e+00,0.000000000000000000e+00
1.453605000000000036e+00,0.000000000000000000e+00
1.460416999999999854e+00,0.000000000000000000e+00
1.467185999999999879e+00,0.000000000000000000e+00
1.473987999999999854e+00,0.000000000000000000e+00
1.480815999999999910e+00,0.000000000000000000e+00
1.487619999999999942e+00,1.000000000000000000e+00
1.494423999999999975e+00,1.000000000000000000e+00
1.501185999999999909e+00,0.000000000000000000e+00
1.507936999999999861e+00,1.000000000000000000e+00
1.514699999999999935e+00,0.000000000000000000e+00
1.521554999999999991e+00,0.000000000000000000e+00
1.528391999999999973e+00,1.000000000000000000e+00
1.535220999999999947e+00,0.000000000000000000e+00
1.541998999999999898e+00,0.000000000000000000e+00
1.548816999999999888e+00,1.000000000000000000e+00
1.555547000000000013e+00,0.000000000000000000e+00
1.562400000000000011e+00,0.000000000000000000e+00
1.569181999999999855e+00,1.000000000000000000e+00
1.575960999999999945e+00,0.000000000000000000e+00
1.582780999999999993e+00,0.000000000000000000e+00
1.589582999999999968e+00,1.000000000000000000e+00
1.596390999999999893e+00,0.000000000000000000e+00
1.603169999999999984e+00,0.000000000000000000e+00
1.609960999999999975e+00,0.000000000000000000e+00
1.616721999999999992e+00,0.000000000000000000e+00
1.623580999999999941e+00,0.000000000000000000e+00
1.630371000000000015e+00,0.000000000000000000e+00
1.637207999999999997e+00,0.000000000000000000e+00
1.643981999999999832e+00,1.000000000000000000e+00
1.650846999999999953e+00,0.000000000000000000e+00
1.657683999999999935e+00,1.000000000000000000e+00
