freq_hz,magnitude
4.367166450092946661e+01,6.603363252096941096e+02
4.380687089257321531e+01,2.341254216575121632e+02
4.394207728421695691e+01,1.881556658693783106e+02
4.407728367586069851e+01,2.854466141987016385e+02
4.421249006750444721e+01,3.166678406240966410e+02
4.434769645914818881e+01,5.721798968321127177e+02
4.448290285079193751e+01,4.953112767904630118e+02
4.461810924243567911e+01,4.134723607073855760e+02
4.475331563407942070e+01,2.952146644149157169e+02
4.488852202572316941e+01,2.124209827507326054e+02
4.502372841736691100e+01,3.606281014028869549e+02
4.515893480901065971e+01,4.094804945290424598e+02
4.529414120065440130e+01,4.806736560230707482e+02
4.542934759229814290e+01,3.955006639045059842e+02
4.556455398394189160e+01,3.232359392026032197e+02
4.569976037558563320e+01,1.687652715317169907e+02
4.583496676722938190e+01,1.226962176766550527e+02
4.597017315887312350e+01,3.091045865584017633e+02
4.610537955051687220e+01,2.787805610692952882e+02
4.624058594216061380e+01,2.473784235980108406e+02
4.637579233380435539e+01,3.469870414291195289e+02
4.651099872544810410e+01,3.644426545983479286e+02
4.664620511709184569e+01,4.865895435317008264e+02
4.678141150873559440e+01,1.669069091137397152e+02
4.691661790037933599e+01,2.782649928213419344e+02
4.705182429202307759e+01,2.596965281154461991e+02
4.718703068366682629e+01,3.090353061476376411e+02
4.732223707531056789e+01,2.330435677823831213e+02
4.745744346695431659e+01,1.397141605704993879e+02
4.759264985859805819e+01,4.066782513042347773e+02
4.772785625024179978e+01,6.028280532743654021e+02
4.786306264188554849e+01,6.180404190576172141e+02
4.799826903352929008e+01,2.857851216185312637e+02
4.813347542517303879e+01,6.272610900092356587e+02
4.826868181681678038e+01,5.210878734272120028e+02
4.840388820846052198e+01,4.288490302279240609e+02
4.853909460010427068e+01,7.734132443514056376e+02
4.867430099174801228e+01,6.635435297036102611e+02
4.880950738339176098e+01,8.069409284612416968e+02
4.894471377503550258e+01,5.498075123067834511e+02
4.907992016667924418e+01,1.548002649932600434e+02
4.921512655832299288e+01,1.055804011976197501e+02
4.935033294996673447e+01,9.310640537269344463e+01
4.948553934161048318e+01,5.082070536380159069e+02
4.962074573325422477e+01,1.420164469762140698e+03
4.975595212489797348e+01,1.455266509436757815e+03
4.989115851654171507e+01,7.218018174730077590e+02
5.002636490818545667e+01,6.496759938586703811e+02
5.016157129982920537e+01,1.029276252976030946e+03
5.029677769147294697e+01,8.058913949449361098e+02
5.043198408311669567e+01,5.458576243892806588e+02
5.056719047476043727e+01,3.270284077868413988e+02
5.070239686640417887e+01,2.891934637807236754e+02
5.083760325804792757e+01,1.576081940558147778e+02
5.097280964969166916e+01,7.383433136977868116e+02
5.110801604133541787e+01,1.495759390764652380e+03
5.124322243297915946e+01,1.004205616512863685e+03
5.137842882462290106e+01,4.845758899597350933e+02
5.151363521626664976e+01,3.255937434680079150e+02
5.164884160791039136e+01,1.576701570970013790e+02
5.178404799955414006e+01,3.626588223179130068e+02
5.191925439119788166e+01,4.122924576974467641e+02
5.205446078284162326e+01,6.397857272600033411e+02
5.218966717448537196e+01,1.084112716207088170e+03
5.232487356612911356e+01,7.858580064126539355e+02
5.246007995777286226e+01,1.919193992609373538e+02
5.259528634941660385e+01,1.431458533566491198e+01
5.273049274106034545e+01,2.074799339221738137e+02
5.286569913270409415e+01,2.223112350563946222e+02
5.300090552434783575e+01,4.303535813329257280e+02
5.313611191599158445e+01,3.688265793533174133e+02
5.327131830763532605e+01,2.332090768645699086e+02
5.340652469927906765e+01,3.816372067531536345e+02
5.354173109092281635e+01,1.236823650183151528e+02
5.367693748256655795e+01,3.587524190044649117e+02
5.381214387421030665e+01,1.299878437257816586e+02
5.394735026585404825e+01,1.171637058833970855e+02
5.408255665749778984e+01,2.883285099332079540e+02
5.421776304914153854e+01,3.351027482627486620e+02
5.435296944078528014e+01,6.057460881933275232e+02
5.448817583242902884e+01,3.899100403158545873e+02
5.462338222407277044e+01,3.537117336386211264e+02
5.475858861571651914e+01,3.887167517357378870e+02
5.489379500736026074e+01,2.883875429134267847e+02
5.502900139900400234e+01,2.461045520057984675e+02
5.516420779064775104e+01,1.955750811867108609e+02
5.529941418229149264e+01,1.860633834591841378e+02
5.543462057393524134e+01,6.020971868965262530e+01
5.556982696557898294e+01,8.082052082244688052e+01
5.570503335722272453e+01,1.807724260638644580e+02
5.584023974886647324e+01,1.919431889714585964e+02
5.597544614051021483e+01,3.476412472217224376e+02
5.611065253215396353e+01,3.629691968141034977e+02
5.624585892379770513e+01,2.815815966021302756e+02
5.638106531544144673e+01,4.259846522955436399e+02
5.651627170708519543e+01,1.258201982816594295e+02
5.665147809872893703e+01,3.323448804322927685e+02
5.678668449037268573e+01,6.771245591089842719e+02
5.692189088201642733e+01,6.258477736636115196e+02
5.705709727366016892e+01,3.161994323022800586e+02
5.719230366530391763e+01,2.749076786405483404e+02
5.732751005694765922e+01,3.249771979171666203e+01
5.746271644859140793e+01,4.449786530596887246e+02
5.759792284023514952e+01,6.370663603267962571e+02
5.773312923187889112e+01,2.595340274747144349e+02
5.786833562352263982e+01,2.085797487343067473e+02
5.800354201516638142e+01,5.331876997292299620e+02
5.813874840681013012e+01,2.848588462604354277e+02
5.827395479845387172e+01,3.529481974493715484e+02
5.840916119009762042e+01,2.829089740498228025e+02
5.854436758174136202e+01,4.705112272617678286e+02
5.867957397338510361e+01,5.274490430514979380e+02
5.881478036502885232e+01,1.086127940729381407e+03
5.894998675667259391e+01,1.006033762216031164e+03
5.908519314831634262e+01,6.189070558994035309e+02
