frame,fps,on_events,off_events
446,52.9,2854,3105
447,52.9,2783,2867
448,52.9,2732,3315
449,52.9,2777,2588
450,52.9,2648,2599
451,52.9,2491,2976
452,52.9,2819,2833
453,52.9,2817,2803
454,52.9,2820,2933
455,52.9,2853,3034
456,52.9,3015,3612
457,52.9,3376,2533
458,52.9,2887,2646
459,52.9,2616,3179
460,52.9,2897,2597
461,52.9,2654,2958
462,52.9,2591,2741
463,52.9,2680,2344
464,52.9,2371,2537
465,52.9,2423,2499
466,52.9,2282,2343
467,52.9,2213,2742
468,52.9,2637,2491
469,52.9,2257,2751
470,52.9,2551,2424
471,52.9,2562,2219
472,52.9,2384,2626
473,52.9,2434,2962
474,52.9,2563,2492
475,52.9,2671,2722
476,52.9,2591,3021
477,52.9,2783,2430
478,52.9,2430,3090
479,52.9,2703,2503
480,52.9,2366,2717
481,52.9,2641,2866
482,52.9,2444,2548
483,52.9,2464,2620
484,52.9,2583,2433
485,52.9,2409,2611
486,52.9,2670,2621
487,52.9,2611,2396
488,52.9,2475,2414
489,52.9,2667,2838
490,52.9,2610,2763
491,52.9,2632,2865
492,52.9,2781,2285
493,52.9,2505,2560
494,52.9,2441,2668
495,52.9,2700,2728
496,52.9,2679,2558
497,52.9,2563,2732
498,52.9,2674,2518
499,52.9,2436,3024
500,52.9,2988,2355
501,52.9,2522,2279
502,53.0,2507,2374
503,53.0,2350,2224
504,53.0,2178,2658
505,53.0,2477,2616
506,53.0,2406,2414
507,53.0,2233,2757
508,53.0,2605,2565
509,53.0,2618,2590
510,53.0,2339,2480
511,53.0,2488,2385
512,53.0,2186,2757
513,53.0,2469,2481
514,53.0,2306,2496
515,53.0,2405,2492
516,53.0,2382,2488
517,53.0,2432,2333
518,53.0,2422,2304
519,53.0,2330,2638
520,53.0,2630,2255
521,53.0,2431,2546
522,53.0,2353,2604
523,53.0,2468,2300
524,53.0,2311,2464
525,53.0,2373,2446
526,53.0,2387,2440
527,53.0,2156,2866
528,53.0,2593,2268
529,53.0,2416,2121
530,53.0,2213,2601
531,53.0,2482,2588
532,53.0,2430,2250
533,53.0,2235,2616
534,53.0,2268,2330
535,53.0,2433,2201
536,53.0,2233,2105
537,53.0,2256,2562
538,53.0,2201,2685
539,53.0,2637,2288
540,53.0,2341,2359
541,53.0,2182,2446
542,53.0,2155,2526
543,53.0,2282,2471
544,53.0,2357,2340
545,53.0,2266,2289
546,53.0,2149,2428
547,53.0,2314,2459
548,53.0,2415,2746
549,53.0,2476,2438
550,53.0,2364,2584
551,53.0,2372,2390
552,53.0,2313,2385
553,53.0,2148,2743
554,53.0,2513,2298
555,53.0,2144,2388
556,53.0,2333,2393
557,53.0,2308,2343
558,53.0,2382,2370
559,53.0,2266,2274
560,52.9,2218,2457
561,52.9,2263,2316
562,52.9,2304,2217
563,52.9,2253,2374
564,52.9,2273,2513
565,52.9,2295,1957
566,52.9,2170,2503
567,52.9,2137,2443
568,52.9,2089,2162
569,52.9,2309,2226
570,52.9,2086,2392
571,52.9,2214,2035
572,52.9,2209,2216
573,52.9,2235,2288
574,52.9,2169,2360
575,52.9,2427,2224
576,52.9,2177,2307
577,52.9,2179,2152
578,52.9,2185,2459
579,52.9,2218,2172
580,52.9,2189,2228
581,52.9,2115,2175
582,52.9,1987,2341
583,52.9,2293,2091
584,52.9,2021,2324
585,52.9,2203,2040
586,52.9,1899,2188
587,52.9,2204,2292
588,52.9,2206,2137
589,52.9,2114,2315
590,52.9,2041,2194
591,52.9,2125,2009
592,52.9,2102,2093
593,52.9,2084,2248
594,52.9,2130,2137
595,52.9,1950,2487
596,52.9,2103,2092
597,52.9,1992,2019
598,52.9,2247,2031
599,52.9,2011,2191
600,52.9,2115,2130
601,52.9,2090,2343
602,52.9,1978,2318
603,52.9,2076,2004
604,52.9,2173,2090
605,52.9,2183,2299
606,52.9,1986,2054
607,52.9,2102,2467
608,52.9,2128,2089
609,52.9,1977,2005
610,52.9,2104,2182
611,52.9,2174,2197
612,52.9,2107,2103
613,52.9,2049,2301
614,52.9,2214,2158
615,52.9,2076,2521
616,52.9,2215,1961
617,52.9,2070,2276
618,52.9,2163,2003
619,52.9,2163,2289
620,52.9,2105,2333
621,52.9,2118,2375
622,52.9,2197,1974
623,52.9,2156,2095
624,52.9,2204,2329
625,52.9,2088,2049
626,52.9,2160,2158
627,52.9,2037,2421
628,52.9,2202,2131
629,52.9,2228,2258
630,52.9,2130,2185
631,52.9,2142,2277
632,52.9,2022,2104
633,52.9,2159,1941
634,52.9,2216,2220
635,52.9,1982,2274
636,52.9,1968,2195
637,52.9,2285,2067
638,52.9,2045,2445
639,52.9,2228,2377
640,52.9,2046,2094
641,52.9,2258,2416
642,52.9,1952,2103
643,52.9,2209,2040
644,52.9,2027,2321
645,52.9,2348,2028
646,52.9,1906,2508
647,52.9,2312,1939
648,52.9,2216,2204
649,52.9,2070,2024
650,52.9,2046,2075
651,52.9,2090,2201
652,52.9,2122,2545
653,52.9,2206,2167
654,52.9,2048,2393
655,52.9,2253,1939
656,52.9,2009,2064
657,52.9,2197,2070
658,52.9,2179,1996
659,52.9,2026,2398
660,52.9,2166,2366
661,52.9,2092,2265
662,52.9,2252,2077
663,52.9,2257,2373
664,52.9,2204,2410
665,52.9,2301,2284
666,52.9,2191,2396
667,52.9,2186,2070
668,52.9,2393,2214
669,52.9,2464,2326
670,52.9,2467,2595
671,52.9,2513,2653
672,52.9,2394,2621
673,52.9,2481,2528
674,52.9,2625,2371
675,52.9,2398,2429
676,52.9,2195,2414
677,52.9,2522,2401
678,52.9,2361,2476
679,52.9,2357,2140
680,52.9,2232,2262
681,52.9,2141,2474
682,52.9,2002,2253
683,52.9,2177,1984
684,52.9,2109,2096
685,52.9,2058,2481
686,52.9,2103,2036
687,52.9,2098,2262
688,52.9,2196,2126
689,52.9,2130,2138
690,52.9,2442,2104
691,52.9,2155,2357
692,52.9,2247,2421
693,52.9,2251,2261
694,52.9,2165,2277
695,52.9,2432,2291
696,52.9,2562,2407
697,52.9,2318,2764
698,52.9,2290,2650
699,52.9,2366,2368
700,52.9,2382,2358
701,52.9,2378,2322
702,53.0,2466,2412
703,53.0,2451,2699
704,53.0,2500,2463
705,53.0,2044,2740
706,53.0,2538,2295
707,53.0,2360,2562
708,53.0,2254,2453
709,53.0,2275,2326
710,53.0,2333,2230
711,53.0,2364,2495
712,53.0,2409,2510
713,53.0,2220,2326
714,53.0,2272,2226
715,53.0,2222,2509
716,53.0,2247,2373
717,53.0,2093,2210
718,53.0,2110,2275
719,53.0,2174,2220
720,53.0,2144,2104
721,53.0,2278,2205
722,53.0,2089,2400
723,53.0,2242,2221
724,53.0,1990,2239
725,53.0,2116,2093
726,53.0,2201,2100
727,53.0,2216,2122
728,53.0,2159,2512
729,53.0,2369,2167
730,53.0,2176,2447
731,53.0,2322,2099
732,53.0,2215,2392
733,53.0,2019,2665
734,53.0,2320,2056
735,53.0,2248,2180
736,53.0,2240,2413
737,53.0,2081,2533
738,53.0,2294,2265
739,53.0,2376,2173
740,53.0,2289,2714
741,53.0,2352,2354
742,53.0,2123,2510
743,53.0,2438,2167
744,53.0,2110,2490
745,53.0,2319,2207
746,53.0,2129,2414
747,53.0,2248,2265
748,53.0,2146,2337
749,53.0,2289,2572
750,53.0,2282,2464
751,53.0,2322,2498
752,53.0,2449,2274
753,53.0,2568,2632
754,53.0,2473,2618
755,53.0,2477,2685
756,53.0,2751,2603
757,53.0,2432,2728
758,53.0,2236,2535
759,53.0,2296,2651
760,53.0,2410,2325
761,53.0,2062,2275
762,53.0,2398,2242
763,53.0,2394,2292
764,53.0,2354,2668
765,53.0,2333,2577
766,53.0,2335,2453
767,53.0,2421,2592
768,53.0,2482,2429
769,53.0,2468,2412
770,52.9,2285,2478
771,52.9,2392,2531
772,52.9,2213,2440
773,52.9,2139,2171
774,52.9,2405,2212
775,52.9,2480,2267
776,52.9,2323,2360
777,52.9,2374,2468
778,52.9,2347,2660
779,52.9,2591,2434
780,52.9,2320,2723
781,52.9,2448,2552
782,52.9,2500,2517
783,52.9,2569,2650
784,52.9,2313,2935
785,52.9,2444,2532
786,52.9,2467,2498
787,52.9,2544,2643
788,52.9,2572,2953
789,52.9,2559,2510
790,52.9,2408,2640
791,52.9,2521,2512
792,52.9,2466,2836
793,52.9,2572,2649
794,52.9,2567,2657
795,52.9,2340,2660
796,52.9,2439,2755
797,52.9,2488,2589
798,52.9,2591,2623
799,52.9,2588,2763
800,52.9,2360,2688
801,52.9,2417,2450
802,52.9,2266,2878
803,52.9,2253,2379
804,52.9,2239,2321
805,52.9,2287,2498
806,52.9,2155,2375
807,52.9,2190,2161
808,52.9,2212,2198
809,52.9,2250,2430
810,52.9,2356,2282
811,52.9,2281,2617
812,52.9,2257,2243
813,52.9,2125,2374
814,52.9,2260,2114
815,52.9,2122,2317
816,52.9,2316,2184
817,52.9,2104,2318
818,52.9,2154,2232
819,52.9,2050,2413
820,52.9,2206,2307
821,52.9,2243,2098
822,52.9,2243,2204
823,52.9,2158,2506
824,52.9,2258,2462
825,52.9,2310,2629
826,52.9,2274,2427
827,52.9,2510,2342
828,52.9,2320,2810
829,52.9,2342,2444
830,52.9,2492,2525
831,52.9,2331,2759
832,52.9,2315,2582
833,52.9,2433,2610
834,52.9,2284,2786
835,52.9,2448,2696
836,52.9,2524,2612
837,52.9,2533,2671
838,52.9,2558,2912
839,52.9,2743,3057
840,52.9,2569,3010
841,52.9,2730,2898
842,52.9,2573,3295
843,52.9,2656,2908
844,52.9,2722,2772
845,52.9,2797,3014
846,52.9,2745,3164
847,52.9,2733,3173
848,52.9,2604,3095
849,52.9,2516,2944
850,52.9,2632,2868
851,52.9,2463,2962
852,52.9,2534,2860
853,52.9,2551,3275
854,52.9,2667,2782
855,52.9,2415,3284
856,52.9,2634,2822
857,52.9,2378,3078
858,52.9,2371,2587
859,52.9,2153,2723
860,52.9,2355,2575
861,52.9,2221,2558
862,52.9,2331,2590
863,52.9,2265,2762
864,52.9,2354,2545
865,52.9,2246,2705
866,52.9,2458,2526
867,52.9,2139,2660
868,52.9,2058,2787
869,52.9,2084,2366
870,52.9,2208,2166
871,52.9,2249,2647
872,52.9,2173,2478
873,52.9,2070,2257
874,52.9,2102,2174
875,52.9,2116,2430
876,52.9,2176,2472
877,52.9,2338,2332
878,52.9,2164,2238
879,52.9,2016,2333
880,52.9,2066,2175
881,52.9,2231,2177
882,52.9,2053,2348
883,52.9,2176,2044
884,52.9,2096,2338
885,52.9,2251,1858
886,52.9,2243,2281
887,52.9,1993,2471
888,52.9,2109,2248
889,52.9,2214,2007
890,52.9,2061,1952
891,52.9,1984,2366
892,52.9,2166,2019
893,52.9,1993,2100
894,52.9,2046,2376
895,52.9,2128,1982
896,52.9,2121,2168
897,52.9,1975,2380
898,52.9,2106,2072
899,52.9,2129,1876
900,52.9,1926,2333
901,52.9,2055,2108
902,52.9,2000,2357
903,52.9,1932,2130
904,52.9,2024,2128
905,52.9,2065,2118
906,52.9,2131,2046
907,52.9,1779,2351
908,52.9,2183,2144
909,52.9,2026,2028
910,52.9,1959,2198
911,52.9,2064,1892
912,52.9,1795,2422
913,52.9,2160,1974
914,52.9,2027,2097
