frame,fps,on_events,off_events
362,50.7,6879,7172
363,50.7,8321,8494
364,50.7,8447,8546
365,50.7,7188,7689
366,50.7,8876,7996
367,50.7,6943,8093
368,50.7,8055,8000
369,50.7,7099,8040
370,50.7,7274,6628
371,50.7,6611,7758
372,50.7,6699,6314
373,50.7,6335,7362
374,50.7,5956,6276
375,50.7,7440,5914
376,50.7,6625,6733
377,50.7,6596,6254
378,50.7,7548,6812
379,50.7,6455,6907
380,50.7,6857,6111
381,50.7,7384,6556
382,50.7,6492,6299
383,50.7,7859,6904
384,50.7,7633,7193
385,50.7,7499,6265
386,50.7,7964,7140
387,50.7,5640,6915
388,50.7,5190,5876
389,50.6,6487,6233
390,50.6,7250,7736
391,50.6,6310,7047
392,50.6,7266,7500
393,50.6,6291,7139
394,50.6,6456,6629
395,50.6,6002,6189
396,50.6,6739,6217
397,50.6,6158,6230
398,50.6,7779,7591
399,50.6,7524,8492
400,50.6,6056,6962
401,50.6,6115,7025
402,50.6,5231,5585
403,50.6,6553,5458
404,50.6,5887,5965
405,50.6,7036,5838
406,50.6,7268,6932
407,50.6,6392,6450
408,50.6,7235,6431
409,50.6,6322,6681
410,50.6,7508,6221
411,50.6,7357,7158
412,50.6,6775,6674
413,50.6,7387,6556
414,50.6,6532,6387
415,50.6,6772,6335
416,50.6,6931,5689
417,50.6,6419,5700
418,50.6,4799,5480
419,50.6,4992,4948
