time_s,activity
5.176854999999999762e+00,0.000000000000000000e+00
5.180680999999999869e+00,0.000000000000000000e+00
5.184470999999999385e+00,0.000000000000000000e+00
5.188290999999999542e+00,0.000000000000000000e+00
5.192145000000000010e+00,0.000000000000000000e+00
5.195936999999999806e+00,0.000000000000000000e+00
5.199783000000000044e+00,0.000000000000000000e+00
5.203634000000000093e+00,0.000000000000000000e+00
5.207434999999999370e+00,0.000000000000000000e+00
5.211227000000000054e+00,0.000000000000000000e+00
5.215046999999999322e+00,0.000000000000000000e+00
5.218848999999999627e+00,0.000000000000000000e+00
5.222660999999999554e+00,0.000000000000000000e+00
5.226496000000000031e+00,0.000000000000000000e+00
5.230291999999999497e+00,0.000000000000000000e+00
5.234061999999999770e+00,0.000000000000000000e+00
5.237843999999999944e+00,0.000000000000000000e+00
5.241670000000000051e+00,0.000000000000000000e+00
5.245505999999999780e+00,0.000000000000000000e+00
5.249337999999999838e+00,0.000000000000000000e+00
5.253146999999999345e+00,0.000000000000000000e+00
5.256967999999999641e+00,0.000000000000000000e+00
5.260772999999999477e+00,0.000000000000000000e+00
5.264607999999999954e+00,0.000000000000000000e+00
5.268448999999999494e+00,0.000000000000000000e+00
5.272257999999999889e+00,0.000000000000000000e+00
5.276051999999999964e+00,0.000000000000000000e+00
5.279854999999999521e+00,0.000000000000000000e+00
5.283694999999999808e+00,0.000000000000000000e+00
5.287513999999999825e+00,0.000000000000000000e+00
5.291335999999999373e+00,0.000000000000000000e+00
5.295129000000000197e+00,0.000000000000000000e+00
5.298949999999999605e+00,0.000000000000000000e+00
5.302756999999999721e+00,0.000000000000000000e+00
5.306576999999999877e+00,0.000000000000000000e+00
5.310385000000000133e+00,0.000000000000000000e+00
5.314191999999999361e+00,0.000000000000000000e+00
5.317994999999999806e+00,0.000000000000000000e+00
5.321806999999999732e+00,0.000000000000000000e+00
5.325618999999999659e+00,0.000000000000000000e+00
5.329479999999999329e+00,0.000000000000000000e+00
5.333311000000000135e+00,0.000000000000000000e+00
5.337143999999999444e+00,0.000000000000000000e+00
5.340982999999999592e+00,0.000000000000000000e+00
5.344788999999999568e+00,0.000000000000000000e+00
5.348629999999999995e+00,0.000000000000000000e+00
5.352411000000000030e+00,0.000000000000000000e+00
5.356231999999999438e+00,0.000000000000000000e+00
5.360027999999999793e+00,0.000000000000000000e+00
5.363843000000000139e+00,0.000000000000000000e+00
5.367670999999999637e+00,0.000000000000000000e+00
5.371500000000000163e+00,0.000000000000000000e+00
5.375313999999999481e+00,0.000000000000000000e+00
5.379119999999999457e+00,0.000000000000000000e+00
5.382940999999999754e+00,0.000000000000000000e+00
5.386772999999999811e+00,0.000000000000000000e+00
5.390581999999999319e+00,0.000000000000000000e+00
